1970	2	17	0.34	0.02	10526.42	0.02	0.31	0.00	0.10
1970	2	18	0.45	0.03	13343.00	0.11	0.34	0.14	0.39
1970	2	19	0.54	0.05	15414.63	0.22	0.32	0.14	0.43
1970	2	20	0.59	0.07	16815.24	0.30	0.29	0.28	0.60
1970	2	21	0.60	0.10	18808.55	0.34	0.27	0.20	0.62
1970	2	22	0.67	0.12	20544.68	0.43	0.24	0.24	0.59
1970	2	23	0.75	0.16	23552.33	0.55	0.21	0.21	0.65
1970	2	24	0.76	0.19	26556.58	0.60	0.16	0.23	0.57
1970	2	25	0.76	0.24	28296.42	0.63	0.13	0.21	0.64
1970	2	26	0.77	0.25	30628.39	0.66	0.11	0.14	0.60
1970	2	27	0.76	0.26	32288.47	0.67	0.09	0.17	0.47
1970	2	28	0.78	0.31	35320.98	0.68	0.10	0.12	0.38
1970	2	29	0.78	0.34	37874.39	0.68	0.10	0.11	0.30
1970	2	30	0.77	0.37	37252.88	0.67	0.10	0.08	0.30
1970	2	31	0.78	0.43	38166.70	0.67	0.11	0.07	0.18
1970	2	32	0.76	0.43	39339.37	0.67	0.09	0.05	0.15
1970	2	33	0.76	0.45	40444.77	0.67	0.09	0.04	0.12
1970	2	34	0.77	0.45	40890.38	0.68	0.09	0.03	0.15
1970	2	35	0.75	0.47	44286.41	0.67	0.08	0.03	0.19
1970	2	36	0.75	0.51	44210.15	0.67	0.08	0.02	0.13
1970	2	37	0.72	0.51	48233.52	0.63	0.09	0.02	0.08
1970	2	38	0.73	0.52	46926.64	0.63	0.10	0.02	0.10
1970	2	39	0.73	0.54	45296.11	0.62	0.10	0.02	0.10
1970	2	40	0.71	0.52	44527.96	0.63	0.08	0.01	0.05
1970	2	41	0.70	0.52	46232.64	0.62	0.09	0.01	0.07
1970	2	42	0.72	0.53	49451.63	0.62	0.10	0.01	0.10
1970	2	43	0.73	0.51	49619.71	0.63	0.10	0.00	0.03
1970	2	44	0.71	0.50	47762.29	0.61	0.09	0.00	0.05
1970	2	45	0.72	0.47	46486.81	0.61	0.10	0.02	0.03
1970	2	46	0.70	0.45	46584.77	0.61	0.09	0.02	0.05
1970	2	47	0.71	0.48	47725.42	0.62	0.09	0.02	0.04
1970	2	48	0.70	0.41	48603.59	0.61	0.09	0.00	0.02
1970	2	49	0.68	0.42	52278.80	0.60	0.08	0.00	0.11
1970	2	50	0.68	0.39	48896.00	0.60	0.08	0.03	0.06
1970	2	51	0.67	0.32	63207.14	0.60	0.07	0.00	0.00
1970	2	52	0.62	0.34	50048.03	0.55	0.07	0.00	0.00
